FirstName	LastName	Relationship	DOB	PhoneNumber	EmailID	Status	AgeGroup
Will	Smith	Friend	01-01-91	9878452137	Will@gmail.com	OLD	Major
John	Wayne	Father	01-01-91	9878452138	john@gmail.com	OLD	Major
Bruce	Wayne	Brother	01-01-91	9878452139	bruce@gmail.com	OLD	Major
Amy 	Cooper	Sister	01-01-91	9878452140	Kelly@gmail.com	OLD	Major
Spencer	Charlotte 	Spouse	01-01-91	9878452141	spencer@gmail.com	OLD	Major
Adam	Leviene 	Manager 	01-01-91	9878452142	adam@gmail.com	OLD	Major
Mike 	Shinoda	Trainer	01-01-91	9878452143	mike@gmail.com	OLD	Major
Bruce 	Willlis	Owner	01-01-91	9878452144	brucewillis@gmail.com	OLD	Major
Paul	Walker 	Sibling 	01-01-91	9878452145	paul@gmail.com	NEW	Major
Kurt 	Russel 	Guardian	01-01-91	9878452146	kurt@gmail.com	NEW	Major
Amanda	Rose	Sister	01-01-91	9878452147	amanda@gmail.com	NEW	Major
Brenda	Stone	Owner	01-01-91	9878452148	brenda@gmail.com	NEW	Major
Jennifer	Leah	Spouse	01-01-91	9878452149	jennifer@gmail.com	NEW	Major
Nicole	Garcia	Trainer	01-01-91	9878452150	nicole@gmail.com	NEW	Major
Amy	Dumas	Manager 	01-01-91	9878452151	dumas@gmail.com	NEW	Major
Will	Jones	Trainer	01-01-05	9878452152	jones@gmail.com	NEW	Minor
Danny	Thomas	Sibling 	01-01-05	9878452153	thomas@gmail.com	NEW	Minor
Johnny	Cage	Brother	01-01-05	9878452154	johnny@gmail.com	NEW	Minor
Cassie	Cage	Sister	01-01-05	9878452155	cassie@gmail.com	NEW	Minor
Sonya	Blade	Guardian	01-01-05	9878452156	sonya@gmail.com	NEW	Minor
Paul	Wesley	Owner	01-01-05	9878452157	wesley@gmail.com	NEW	Minor
Dwayne	Johnson	Father	01-01-05	9878452158	dwayne@gmail.com	NEW	Minor
Richard	Lewis	Brother	01-01-05	9878452159	richard@gmail.com	NEW	Minor
Jamie	Fox	Trainer	01-01-05	9878452160	jamie@gmail.com	NEW	Minor
Edward	Cullen	Guardian	01-01-05	9878452161	edward@gmail.com	NEW	Minor
