FirstName,LastName,MI,DOB,Gender,PhoneType,PhoneNo,Status,AgeGroup
Auto,AAFAA,A,'01011991,M,Mobile,7777701400,OLD,Major
Auto,AAFAB,B,'01021991,M,Mobile,7777701401,OLD,Major
Auto,AAFAC,C,'01031991,F,Mobile,7777701402,OLD,Major
Auto,AAFAD,D,'01041991,F,Mobile,7777701403,OLD,Major
Auto,AAFAE,E,'01051991,M,Mobile,7777701404,OLD,Major
Auto,AAFAF,F,'01061991,M,Mobile,7777701405,OLD,Major
Auto,AAFAG,G,'01071991,F,Mobile,7777701406,OLD,Major
Auto,AAFAH,H,'01081991,M,Mobile,7777701407,OLD,Major
Auto,AAFAI,I,'01091991,F,Mobile,7777701408,OLD,Major
Auto,AAFAJ,J,'01101991,F,Mobile,7777701409,OLD,Major
Auto,AAFAK,K,'01111991,M,Mobile,7777701410,OLD,Major
Auto,AAFAL,L,'01121991,M,Mobile,7777701411,OLD,Major
Auto,AAFAM,M,'01131991,F,Mobile,7777701412,OLD,Major
Auto,AAFAN,N,'01141991,F,Mobile,7777701413,OLD,Major
Auto,AAFAO,O,'01151991,M,Mobile,7777701414,OLD,Major
Auto,AAFAP,P,'01161991,M,Mobile,7777701415,OLD,Major
Auto,AAFAQ,Q,'01171991,F,Mobile,7777701416,OLD,Major
Auto,AAFAR,R,'01181991,M,Mobile,7777701417,OLD,Major
Auto,AAFAS,S,'01191991,F,Mobile,7777701418,OLD,Major
Auto,AAFAT,T,'01201991,F,Mobile,7777701419,OLD,Major
Auto,AAFAU,U,'01211991,M,Mobile,7777701420,OLD,Major
Auto,AAFAV,V,'01221991,M,Mobile,7777701421,OLD,Major
Auto,AAFAW,W,'01231991,F,Mobile,7777701422,OLD,Major
Auto,AAFAX,X,'01241991,F,Mobile,7777701423,OLD,Major
Auto,AAFAY,Y,'01251991,M,Mobile,7777701424,OLD,Major
Auto,AAFAZ,Z,'01261991,M,Mobile,7777701425,OLD,Major
Auto,AAFBA,A,'01271991,F,Mobile,7777701426,OLD,Major
Auto,AAFBB,B,'01281991,M,Mobile,7777701427,OLD,Major
Auto,AAFBC,C,'01291991,F,Mobile,7777701428,OLD,Major
Auto,AAFBD,D,'01301991,F,Mobile,7777701429,OLD,Major
Auto,AAFBE,E,'01311991,M,Mobile,7777701430,OLD,Major
Auto,AAFBF,F,'02011991,M,Mobile,7777701431,OLD,Major
Auto,AAFBG,G,'02021991,F,Mobile,7777701432,OLD,Major
Auto,AAFBH,H,'02031991,F,Mobile,7777701433,OLD,Major
Auto,AAFBI,I,'02041991,M,Mobile,7777701434,OLD,Major
Auto,AAFBJ,J,'02051991,M,Mobile,7777701435,OLD,Major
Auto,AAFBK,K,'02061991,F,Mobile,7777701436,OLD,Major
Auto,AAFBL,L,'02071991,M,Mobile,7777701437,OLD,Major
Auto,AAFBM,M,'02081991,F,Mobile,7777701438,OLD,Major
Auto,AAFBN,N,'02091991,F,Mobile,7777701439,OLD,Major
Auto,AAFBO,O,'02101991,M,Mobile,7777701440,OLD,Major
Auto,AAFBP,P,'02111991,M,Mobile,7777701441,OLD,Major
Auto,AAFBQ,Q,'02121991,F,Mobile,7777701442,OLD,Major
Auto,AAFBR,R,'02131991,F,Mobile,7777701443,OLD,Major
Auto,AAFBS,S,'02141991,M,Mobile,7777701444,OLD,Major
Auto,AAFBT,T,'02151991,M,Mobile,7777701445,OLD,Major
Auto,AAFBU,U,'02161991,F,Mobile,7777701446,OLD,Major
Auto,AAFBV,V,'02171991,M,Mobile,7777701447,OLD,Major
Auto,AAFBW,W,'02181991,F,Mobile,7777701448,OLD,Major
