FirstName,LastName,Relationship,DOB,PhoneNumber,EmailID
Will,Smith,Friend,01/01/1991,9854229536,Will@gmail.com
John,Wayne,Father,01/01/1991,9874213268,john@gmail.com
Bruce,Wayne,Brother,01/01/1991,9851230348,bruce@gmail.com
Amy ,Cooper,Sister,01/01/1991,9541230675,Kelly@gmail.com
Spencer,Charlotte ,Spouse,01/01/1991,9841275623,spencer@gmail.com
Adam,Leviene ,Manager ,01/01/1991,9421067582,adam@gmail.com
Mike ,Shinoda,Trainer,01/01/1991,9754812036,mike@gmail.com
Bruce ,Willlis,Owner,01/01/1991,9457812540,brucewillis@gmail.com
Paul,Walker ,Sibling ,01/01/1991,9754520637,paul@gmail.com
Kurt ,Russel ,Guardian,01/01/1991,9120347582,kurt@gmail.com
